  sqrt(r)    P(nl;r)
  1s
    0.0000       0.000
    0.0677       0.066
    0.0698       0.070
    0.0720       0.075
    0.0743       0.079
    0.0767       0.084
    0.0791       0.090
    0.0816       0.095
    0.0842       0.101
    0.0869       0.107
    0.0896       0.114
    0.0925       0.121
    0.0954       0.129
    0.0985       0.137
    0.1016       0.145
    0.1048       0.154
    0.1081       0.164
    0.1116       0.174
    0.1151       0.184
    0.1188       0.196
    0.1225       0.207
    0.1264       0.220
    0.1304       0.233
    0.1346       0.247
    0.1388       0.262
    0.1433       0.277
    0.1478       0.294
    0.1525       0.311
    0.1573       0.329
    0.1623       0.348
    0.1675       0.368
    0.1728       0.389
    0.1783       0.411
    0.1839       0.434
    0.1898       0.458
    0.1958       0.483
    0.2020       0.509
    0.2084       0.536
    0.2150       0.564
    0.2219       0.594
    0.2289       0.624
    0.2362       0.655
    0.2437       0.688
    0.2514       0.721
    0.2594       0.756
    0.2676       0.791
    0.2761       0.827
    0.2849       0.863
    0.2939       0.900
    0.3033       0.938
    0.3129       0.975
    0.3228       1.013
    0.3331       1.050
    0.3436       1.087
    0.3546       1.124
    0.3658       1.159
    0.3774       1.194
    0.3894       1.227
    0.4018       1.257
    0.4145       1.286
    0.4277       1.312
    0.4412       1.336
    0.4553       1.355
    0.4697       1.372
    0.4846       1.384
    0.5000       1.391
    0.5159       1.394
    0.5322       1.392
    0.5491       1.384
    0.5666       1.371
    0.5846       1.352
    0.6031       1.326
    0.6223       1.296
    0.6420       1.259
    0.6624       1.216
    0.6834       1.169
    0.7051       1.116
    0.7275       1.058
    0.7506       0.997
    0.7744       0.932
    0.7990       0.864
    0.8244       0.795
    0.8505       0.725
    0.8775       0.655
    0.9054       0.586
    0.9341       0.518
    0.9638       0.453
    0.9944       0.392
    1.0259       0.335
    1.0585       0.282
    1.0921       0.234
    1.1268       0.191
    1.1625       0.154
    1.1994       0.122
    1.2375       0.095
    1.2768       0.072
    1.3173       0.054
    1.3591       0.039
    1.4023       0.028
    1.4468       0.020
    1.4927       0.013
    1.5401       0.009
    1.5890       0.006
    1.6394       0.004
    1.6915       0.002
    1.7452       0.001
    1.8006       0.001
  2s
    0.0000       0.000
    0.0677       0.013
    0.0698       0.013
    0.0720       0.014
    0.0743       0.015
    0.0767       0.016
    0.0791       0.017
    0.0816       0.018
    0.0842       0.019
    0.0869       0.020
    0.0896       0.022
    0.0925       0.023
    0.0954       0.025
    0.0985       0.026
    0.1016       0.028
    0.1048       0.029
    0.1081       0.031
    0.1116       0.033
    0.1151       0.035
    0.1188       0.037
    0.1225       0.040
    0.1264       0.042
    0.1304       0.044
    0.1346       0.047
    0.1388       0.050
    0.1433       0.053
    0.1478       0.056
    0.1525       0.059
    0.1573       0.063
    0.1623       0.066
    0.1675       0.070
    0.1728       0.074
    0.1783       0.078
    0.1839       0.083
    0.1898       0.087
    0.1958       0.092
    0.2020       0.097
    0.2084       0.102
    0.2150       0.107
    0.2219       0.113
    0.2289       0.119
    0.2362       0.124
    0.2437       0.131
    0.2514       0.137
    0.2594       0.143
    0.2676       0.150
    0.2761       0.156
    0.2849       0.163
    0.2939       0.170
    0.3033       0.177
    0.3129       0.184
    0.3228       0.190
    0.3331       0.197
    0.3436       0.203
    0.3546       0.210
    0.3658       0.215
    0.3774       0.221
    0.3894       0.226
    0.4018       0.230
    0.4145       0.234
    0.4277       0.237
    0.4412       0.240
    0.4553       0.241
    0.4697       0.241
    0.4846       0.240
    0.5000       0.237
    0.5159       0.233
    0.5322       0.228
    0.5491       0.220
    0.5666       0.211
    0.5846       0.199
    0.6031       0.186
    0.6223       0.170
    0.6420       0.152
    0.6624       0.131
    0.6834       0.108
    0.7051       0.083
    0.7275       0.055
    0.7506       0.024
    0.7744      -0.009
    0.7990      -0.044
